radius_nm,T,phase_rad,phase_wrapped_rad
50,0.94074,2.8958,2.8958
60,0.94425,2.8251,2.8251
70,0.94704,2.7308,2.7308
80,0.94805,2.6074,2.6074
90,0.94565,2.4483,2.4483
100,0.93925,2.246,2.246
110,0.93168,1.9911,1.9911
120,0.93122,1.6733,1.6733
130,0.9496,1.2784,1.2784
140,0.98257,0.79369,0.79369
150,0.99099,0.21656,0.21656
160,0.896,-0.56862,5.7145653
170,0.20477,0.27227,0.27227
180,0.55673,-0.53078,5.7524053
190,0.61159,-0.89406,5.3891253
200,0.64291,-1.1663,5.1168853
210,0.64316,-1.4393,4.8438853
220,0.78798,-1.5366,4.7465853
