radius_nm,T,phase_rad,phase_wrapped_rad
80,0.9480488,2.607396,2.607396
85,0.94732711,2.5328298,2.5328298
90,0.94561146,2.4484092,2.4484092
95,0.94289964,2.35317,2.35317
100,0.93925473,2.2459525,2.2459525
105,0.93521917,2.1256409,2.1256409
110,0.93167556,1.9911297,1.9911297
115,0.92973381,1.8410672,1.8410672
120,0.9312153,1.6733402,1.6733402
125,0.93747868,1.4865128,1.4865128
130,0.94960167,1.2784122,1.2784122
135,0.96595711,1.0475906,1.0475906
140,0.98256729,0.79369053,0.79369053
145,0.99295531,0.5168066,0.5168066
150,0.99098722,0.2165619,0.2165619
155,0.9714357,-0.12062766,6.1625576
160,0.89600413,-0.56862128,5.714564
