% Model,纳米原柱.mph
% Version,COMSOL 6.3.0.290
% Date,"May 26 2026, 12:51"
% Table,表格 2 - 全局计算 2
% r_pillar (m),freq (THz),纳米柱半径 (nm),S21 (1),abs(ewfd.S21)^2 (1),"atan2(imag(ewfd.S21),real(ewfd.S21)) (rad)"
8.0E-8,361.19573253012044,79.99999999999999,-0.8380231603750746+0.4957479050315675i,0.948048802668216,2.60739602855187
8.500000000000001E-8,361.19573253012044,85,-0.7984586199124709+0.556588663108171i,0.9473271076130688,2.5328298449837305
9.0E-8,361.19573253012044,89.99999999999999,-0.748005012667684+0.6213694220097976i,0.9456114575847722,2.4484091782772937
9.5E-8,361.19573253012044,94.99999999999999,-0.6845422228338747+0.6886955677991401i,0.9428996399485221,2.353170008686401
1.0E-7,361.19573253012044,99.99999999999999,-0.6057383310324057+0.7565287885594446i,0.9392547336011453,2.2459524588326407
1.05E-7,361.19573253012044,104.99999999999999,-0.5094619015241357+0.8219901095918886i,0.9352191693714732,2.1256409222260255
1.1E-7,361.19573253012044,109.99999999999999,-0.3938778277416773+0.881212698888681i,0.9316755638691756,1.9911297166281154
1.1500000000000001E-7,361.19573253012044,115,-0.25744137318729543+0.9292242710017647i,0.9297338064473214,1.8410671947308213
1.2000000000000002E-7,361.19573253012044,120,-0.09878102718752396+0.9599258332668095i,0.931215296705201,1.6733402369265469
1.25E-7,361.19573253012044,124.99999999999999,0.081509653010822+0.9647978312566804i,0.9374786787315385,1.4865128096715694
1.3E-7,361.19573253012044,129.99999999999997,0.2808787631994765+0.9331177784632699i,0.9496016681006957,1.278412220904425
1.35E-7,361.19573253012044,135,0.49108096129213735+0.8513498693050042i,0.9659571105092575,1.047590647060887
1.4E-7,361.19573253012044,140,0.6950800032727589+0.7067043781356644i,0.9825672890257746,0.793690528879826
1.45E-7,361.19573253012044,144.99999999999997,0.8663337441030706+0.4923628295995398i,0.9929553121429101,0.5168066031676656
1.5E-7,361.19573253012044,149.99999999999997,0.9722308858872187+0.21390260946004425i,0.9909872218068622,0.21656189595717915
1.55E-7,361.19573253012044,154.99999999999997,0.9784522150069512-0.11860423314759028i,0.9714357011725371,-0.12062766188000934
1.6E-7,361.19573253012044,159.99999999999997,0.7976258701264355-0.5097029569827211i,0.8960041330518829,-0.5686212752531803
